Name,URL,Created_at,Star,Last commit
wq2012/SpectralCluster,https://github.com/wq2012/SpectralCluster,2019-01-18T18:05:48Z,373,2022-10-26T00:35:54Z
hudson-and-thames/mlfinlab,https://github.com/hudson-and-thames/mlfinlab,2019-02-13T16:57:25Z,3247,2022-11-21T22:58:33Z
xiaoyang-sde/typescript-design-pattern,https://github.com/xiaoyang-sde/typescript-design-pattern,2019-01-24T12:18:27Z,162,2023-01-01T12:02:51Z
omar178/Emotion-recognition,https://github.com/omar178/Emotion-recognition,2018-08-25T04:19:43Z,852,2022-10-22T16:41:55Z
YU1ut/MixMatch-pytorch,https://github.com/YU1ut/MixMatch-pytorch,2019-05-22T03:22:19Z,565,2022-05-19T21:39:09Z
mozilla/bugbug,https://github.com/mozilla/bugbug,2018-03-12T15:29:09Z,411,2023-01-05T14:47:59Z
NeymarL/ChineseChess-AlphaZero,https://github.com/NeymarL/ChineseChess-AlphaZero,2018-01-30T10:13:29Z,859,2022-11-21T21:09:48Z
logictensornetworks/logictensornetworks,https://github.com/logictensornetworks/logictensornetworks,2018-07-07T20:50:18Z,171,2022-07-29T06:41:11Z
kymatio/kymatio,https://github.com/kymatio/kymatio,2018-10-02T01:45:46Z,612,2023-01-02T19:57:27Z
shaohua0116/Multiview2Novelview,https://github.com/shaohua0116/Multiview2Novelview,2018-07-25T06:36:46Z,198,2021-09-02T11:17:07Z
dmbee/seglearn,https://github.com/dmbee/seglearn,2018-03-05T20:53:59Z,536,2022-08-27T09:01:18Z
amansrivastava17/lstm-siamese-text-similarity,https://github.com/amansrivastava17/lstm-siamese-text-similarity,2018-03-23T11:36:08Z,267,2022-11-21T22:00:03Z
yaserkl/RLSeq2Seq,https://github.com/yaserkl/RLSeq2Seq,2018-05-24T00:24:40Z,737,2022-11-21T20:54:06Z
huggingface/knockknock,https://github.com/huggingface/knockknock,2019-03-20T13:08:55Z,2534,2022-10-28T06:39:26Z
kpe/bert-for-tf2,https://github.com/kpe/bert-for-tf2,2019-05-22T07:51:33Z,782,2022-08-20T08:35:43Z
sarnthil/unify-emotion-datasets,https://github.com/sarnthil/unify-emotion-datasets,2018-06-26T08:45:31Z,207,2022-01-03T15:20:50Z
ShreyAmbesh/Traffic-Rule-Violation-Detection-System,https://github.com/ShreyAmbesh/Traffic-Rule-Violation-Detection-System,2018-04-08T08:10:16Z,241,2021-11-05T07:54:28Z
tbepler/protein-sequence-embedding-iclr2019,https://github.com/tbepler/protein-sequence-embedding-iclr2019,2019-02-22T17:38:16Z,233,2021-06-16T17:22:06Z
GT-RIPL/Continual-Learning-Benchmark,https://github.com/GT-RIPL/Continual-Learning-Benchmark,2018-11-30T16:40:23Z,432,2021-04-26T10:03:40Z
WLM1ke/poptimizer,https://github.com/WLM1ke/poptimizer,2018-12-03T14:43:33Z,134,2023-01-02T05:51:32Z
sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,2019-03-11T17:38:45Z,9338,2021-06-22T02:56:06Z
ambakick/Person-Detection-and-Tracking,https://github.com/ambakick/Person-Detection-and-Tracking,2018-10-10T14:50:05Z,232,2022-12-07T14:49:36Z
benedekrozemberczki/SimGNN,https://github.com/benedekrozemberczki/SimGNN,2019-01-31T01:15:15Z,537,2022-11-06T21:27:37Z
